Applicant Name,Email,Phone,Domain Applied,University,Application Date,Status
Andrew Humphrey,aruiz@example.com,0018848300212x022,Data Science,Flores-Love,2026-06-18,Rejected
Samuel Garrett,elliottbrittney@example.org,+13997958006,Cyber Security,Townsend LLC,2026-04-10,Selected
Angel Johnson,cstrickland@example.com,5856452558,AI,Jones-Harris,2026-04-14,Selected
Emily Chang,melissamunoz@example.org,4075400951x31435,Cyber Security,"Leonard, Moore and Sweeney",2026-05-15,Selected
Patricia Hahn,katherine78@example.net,767.658.8642x90239,AI,White LLC,2026-07-06,Selected
Amy Vaughn,ybennett@example.org,(577)7930199x215,Cyber Security,Williams PLC,2026-07-03,Under Review
Renee Hart DVM,henryrobert@example.net,348.944.1681x6023,Data Science,Mcdaniel-Gray,2026-04-21,Rejected
Steven Brown,ipineda@example.org,0012714523535x60674,Cyber Security,Wyatt and Sons,2026-05-25,Selected
Lauren Avila,jonessteven@example.net,+15373813026,Data Science,Morales-Roth,2026-04-20,Under Review
Alexis Short,nhall@example.net,5338557074,Web Development,Young Group,2026-03-30,Under Review
Brandon Becker,gregoryglenda@example.com,+14053685550x27705,Cyber Security,Holmes-Smith,2026-04-07,Selected
Lindsay Good,lopezpaul@example.com,(743)6206126x0593,AI,"Price, Powell and Ramirez",2026-06-29,Under Review
George Dominguez,nataliebrown@example.org,0014072836047,Cyber Security,"Strickland, Garcia and Gill",2026-06-10,Rejected
Patricia Kane,bryan01@example.net,6497404928,Web Development,Taylor-Randall,2026-03-22,Selected
Jamie Conrad,thenderson@example.net,4223331734x9534,AI,Davis-Hodges,2026-04-01,Selected
Kimberly Rose,michaelvelasquez@example.org,798.982.0286,Cyber Security,Freeman Inc,2026-06-26,Under Review
Douglas Reese,lisahutchinson@example.org,727.617.4826x11386,AI,Nelson and Sons,2026-05-09,Selected
Laura Edwards,jamespalmer@example.org,994.365.6283,Data Science,"Mooney, Higgins and Moore",2026-04-27,Under Review
Megan Hodges,flong@example.net,(245)7743607,Web Development,"Ellis, Palmer and Pitts",2026-04-28,Selected
Austin Houston,heathermarshall@example.com,822.575.4068,Cyber Security,Thompson Inc,2026-05-03,Rejected
David Hobbs,laurenstrickland@example.com,+13589591601x60332,AI,"Jackson, Mcmillan and Hernandez",2026-04-01,Selected
Brian Jones,eileenjones@example.com,(457)7299818x30417,Cyber Security,Boyd-Moore,2026-05-03,Under Review
Mark Walter,psmith@example.com,0019946100856x5069,AI,Morrison PLC,2026-05-08,Rejected
Lance Schwartz,ryanflynn@example.org,(863)7536514,AI,"Delgado, Johnson and Norman",2026-04-06,Selected
Carl Hamilton,joseph65@example.net,0019635023192x27840,Web Development,"Garcia, Orozco and Gutierrez",2026-06-01,Selected
Lisa Villa,gregoryballard@example.org,0017699661598x847,Web Development,Vega Group,2026-05-17,Rejected
Michael Heath,peter07@example.com,2483997812,AI,"Harris, Hayes and Simmons",2026-04-02,Rejected
Dale Johnston,rtaylor@example.com,+18426410278,Data Science,Morgan Group,2026-06-22,Under Review
Pamela Gonzales,kevin63@example.com,7527472605,Graphic Design,Chavez Group,2026-06-02,Selected
Melissa Garcia,kleinkaren@example.net,590.690.7459x6403,Cyber Security,Compton Group,2026-07-06,Rejected
Lisa Drake,matthew70@example.net,+13552672038x9858,Graphic Design,"Murphy, Hayes and Molina",2026-04-12,Selected
Timothy Smith,samantha19@example.net,6546286778x2007,AI,Smith Inc,2026-04-02,Under Review
Joseph Martin,tracywells@example.com,4727615534,Web Development,Jones-Williams,2026-04-17,Under Review
Jamie Solis,smithdiana@example.net,+12875286885x455,Data Science,Green-Ward,2026-06-03,Selected
Kerri Freeman,alexissutton@example.com,+16599451081,Cyber Security,Levine Inc,2026-03-23,Under Review
Angela Mccoy,usantana@example.com,458.352.8360x092,Web Development,"Oneill, Sharp and Campbell",2026-04-23,Rejected
Kelly Gibson,cameron12@example.net,(384)4526228x6826,Web Development,Sullivan and Sons,2026-07-16,Rejected
Daniel Townsend,lisabarnes@example.net,(386)2467204,AI,"Hernandez, Oliver and Wells",2026-03-26,Under Review
David Davis,bryan27@example.net,0017503849399,Cyber Security,Fitzgerald and Sons,2026-04-03,Under Review
Yvonne Baker,bradyadrian@example.com,(988)7694773,Graphic Design,Howard-Davis,2026-04-07,Under Review
Jessica Moreno,lunacarol@example.org,0014263074459x767,AI,Thompson Group,2026-03-20,Selected
Loretta Goodwin,rhonda98@example.com,5662176210x7501,AI,"Stewart, Kent and Webster",2026-06-19,Rejected
Sara Lopez,fhudson@example.org,3354447485,Data Science,Torres-Wright,2026-06-01,Selected
Theresa Patterson,nsoto@example.com,0017655943013x3474,Data Science,Cooper-Glover,2026-05-04,Selected
Dana Ryan,stephenbowman@example.org,0013859691174x53385,Data Science,"Hodges, Padilla and Haynes",2026-05-28,Under Review
Christopher Harris,lriley@example.net,+19383579942x3476,Web Development,Mclaughlin-Gonzalez,2026-07-10,Rejected
Megan Barton,floresjuan@example.com,6335083022x493,Graphic Design,Hubbard-Morris,2026-06-20,Rejected
Megan Hughes,davidhanson@example.net,0014948366100x95345,Web Development,Coleman Group,2026-03-21,Under Review
Catherine Gordon,matthew72@example.net,2077286234x853,Web Development,"Rios, Brennan and Calhoun",2026-04-06,Under Review
George Morales,robertsharp@example.net,898.200.1822x81972,Cyber Security,Roberts Group,2026-07-17,Selected
Casey Brown,joneslori@example.org,692.799.5192,Data Science,"Hill, Schultz and Randall",2026-04-22,Under Review
Christopher Patterson,sean14@example.com,816.683.2919,Web Development,Garcia Ltd,2026-06-13,Under Review
Tonya Romero,susanjohns@example.net,+12222072911,Web Development,Mason PLC,2026-06-15,Under Review
Carrie Cowan,kaylamyers@example.org,685.957.6756,AI,Woods Group,2026-06-08,Rejected
