Applicant Name,Email,Phone,Domain Applied,University,Application Date,Status
Derrick James,coledonald@example.org,+1-392-966-3117,Web Development,"Hoffman, Smith and Blankenship",2026-04-24,Rejected
Frederick Frey,ycardenas@example.org,001-266-592-7994x4483,Data Science,"Arias, Gray and Snyder",2026-06-24,Rejected
Adrian Mcintyre,robert26@example.net,3819535300,Web Development,Carter-Brown,2026-03-22,Rejected
Andrew Humphrey,aruiz@example.com,001-884-830-0212x022,Data Science,Flores-Love,2026-06-18,Rejected
Samuel Garrett,elliottbrittney@example.org,+1-399-795-8006,Cyber Security,Townsend LLC,2026-04-10,Selected
Angel Johnson,cstrickland@example.com,585-645-2558,AI,Jones-Harris,2026-04-14,Selected
Emily Chang,melissamunoz@example.org,407-540-0951x31435,Cyber Security,"Leonard, Moore and Sweeney",2026-05-15,Selected
Patricia Hahn,katherine78@example.net,767.658.8642x90239,AI,White LLC,2026-07-06,Selected
Amy Vaughn,ybennett@example.org,(577)793-0199x215,Cyber Security,Williams PLC,2026-07-03,Under Review
Renee Hart DVM,henryrobert@example.net,348.944.1681x6023,Data Science,Mcdaniel-Gray,2026-04-21,Rejected
Steven Brown,ipineda@example.org,001-271-452-3535x60674,Cyber Security,Wyatt and Sons,2026-05-25,Selected
Lauren Avila,jonessteven@example.net,+1-537-381-3026,Data Science,Morales-Roth,2026-04-20,Under Review
Alexis Short,nhall@example.net,5338557074,Web Development,Young Group,2026-03-30,Under Review
Brandon Becker,gregoryglenda@example.com,+1-405-368-5550x27705,Cyber Security,Holmes-Smith,2026-04-07,Selected
Lindsay Good,lopezpaul@example.com,(743)620-6126x0593,AI,"Price, Powell and Ramirez",2026-06-29,Under Review
George Dominguez,nataliebrown@example.org,001-407-283-6047,Cyber Security,"Strickland, Garcia and Gill",2026-06-10,Rejected
Patricia Kane,bryan01@example.net,6497404928,Web Development,Taylor-Randall,2026-03-22,Selected
Jamie Conrad,thenderson@example.net,422-333-1734x9534,AI,Davis-Hodges,2026-04-01,Selected
Kimberly Rose,michaelvelasquez@example.org,798.982.0286,Cyber Security,Freeman Inc,2026-06-26,Under Review
Douglas Reese,lisahutchinson@example.org,727.617.4826x11386,AI,Nelson and Sons,2026-05-09,Selected
Laura Edwards,jamespalmer@example.org,994.365.6283,Data Science,"Mooney, Higgins and Moore",2026-04-27,Under Review
Megan Hodges,flong@example.net,(245)774-3607,Web Development,"Ellis, Palmer and Pitts",2026-04-28,Selected
Austin Houston,heathermarshall@example.com,822.575.4068,Cyber Security,Thompson Inc,2026-05-03,Rejected
David Hobbs,laurenstrickland@example.com,+1-358-959-1601x60332,AI,"Jackson, Mcmillan and Hernandez",2026-04-01,Selected
Brian Jones,eileenjones@example.com,(457)729-9818x30417,Cyber Security,Boyd-Moore,2026-05-03,Under Review
Mark Walter,psmith@example.com,001-994-610-0856x5069,AI,Morrison PLC,2026-05-08,Rejected
Lance Schwartz,ryanflynn@example.org,(863)753-6514,AI,"Delgado, Johnson and Norman",2026-04-06,Selected
Carl Hamilton,joseph65@example.net,001-963-502-3192x27840,Web Development,"Garcia, Orozco and Gutierrez",2026-06-01,Selected
Lisa Villa,gregoryballard@example.org,001-769-966-1598x847,Web Development,Vega Group,2026-05-17,Rejected
Michael Heath,peter07@example.com,2483997812,AI,"Harris, Hayes and Simmons",2026-04-02,Rejected
Dale Johnston,rtaylor@example.com,+1-842-641-0278,Data Science,Morgan Group,2026-06-22,Under Review
Pamela Gonzales,kevin63@example.com,752-747-2605,Graphic Design,Chavez Group,2026-06-02,Selected
Melissa Garcia,kleinkaren@example.net,590.690.7459x6403,Cyber Security,Compton Group,2026-07-06,Rejected
Lisa Drake,matthew70@example.net,+1-355-267-2038x9858,Graphic Design,"Murphy, Hayes and Molina",2026-04-12,Selected
Timothy Smith,samantha19@example.net,654-628-6778x2007,AI,Smith Inc,2026-04-02,Under Review
Joseph Martin,tracywells@example.com,472-761-5534,Web Development,Jones-Williams,2026-04-17,Under Review
Jamie Solis,smithdiana@example.net,+1-287-528-6885x455,Data Science,Green-Ward,2026-06-03,Selected
Kerri Freeman,alexissutton@example.com,+1-659-945-1081,Cyber Security,Levine Inc,2026-03-23,Under Review
Angela Mccoy,usantana@example.com,458.352.8360x092,Web Development,"Oneill, Sharp and Campbell",2026-04-23,Rejected
Kelly Gibson,cameron12@example.net,(384)452-6228x6826,Web Development,Sullivan and Sons,2026-07-16,Rejected
Daniel Townsend,lisabarnes@example.net,(386)246-7204,AI,"Hernandez, Oliver and Wells",2026-03-26,Under Review
David Davis,bryan27@example.net,001-750-384-9399,Cyber Security,Fitzgerald and Sons,2026-04-03,Under Review
Yvonne Baker,bradyadrian@example.com,(988)769-4773,Graphic Design,Howard-Davis,2026-04-07,Under Review
Jessica Moreno,lunacarol@example.org,001-426-307-4459x767,AI,Thompson Group,2026-03-20,Selected
Loretta Goodwin,rhonda98@example.com,566-217-6210x7501,AI,"Stewart, Kent and Webster",2026-06-19,Rejected
Sara Lopez,fhudson@example.org,3354447485,Data Science,Torres-Wright,2026-06-01,Selected
Theresa Patterson,nsoto@example.com,001-765-594-3013x3474,Data Science,Cooper-Glover,2026-05-04,Selected
Dana Ryan,stephenbowman@example.org,001-385-969-1174x53385,Data Science,"Hodges, Padilla and Haynes",2026-05-28,Under Review
Christopher Harris,lriley@example.net,+1-938-357-9942x3476,Web Development,Mclaughlin-Gonzalez,2026-07-10,Rejected
Megan Barton,floresjuan@example.com,633-508-3022x493,Graphic Design,Hubbard-Morris,2026-06-20,Rejected
Megan Hughes,davidhanson@example.net,001-494-836-6100x95345,Web Development,Coleman Group,2026-03-21,Under Review
Catherine Gordon,matthew72@example.net,207-728-6234x853,Web Development,"Rios, Brennan and Calhoun",2026-04-06,Under Review
George Morales,robertsharp@example.net,898.200.1822x81972,Cyber Security,Roberts Group,2026-07-17,Selected
Casey Brown,joneslori@example.org,692.799.5192,Data Science,"Hill, Schultz and Randall",2026-04-22,Under Review
Christopher Patterson,sean14@example.com,816.683.2919,Web Development,Garcia Ltd,2026-06-13,Under Review
Tonya Romero,susanjohns@example.net,+1-222-207-2911,Web Development,Mason PLC,2026-06-15,Under Review
Carrie Cowan,kaylamyers@example.org,685.957.6756,AI,Woods Group,2026-06-08,Rejected
Daryl Bates,ewalker@example.net,+1-553-936-9153,Data Science,Porter Inc,2026-04-27,Selected
Michael Frazier,jacobdixon@example.org,(288)774-0464,Data Science,Smith-Anderson,2026-06-20,Rejected
